Area,Year,Deaths
"El Paso, TX",2014,115
"Fort Worth, TX",2014,
"Houston, TX",2014,335
"Little Rock, AR",2014,7
"New Orleans, LA",2014,
"San Antonio, TX",2014,314
"Shreveport, LA",2014,
"Tulsa, OK",2014,48
Mountain,2014,1188
"Albuquerque, NM",2014,141
"Boise, ID",2014,61
"Colorado Springs, CO",2014,97
"Denver, CO",2014,89
"Las Vegas, NV",2014,362
"Ogden, UT",2014,41
"Phoenix, AZ",2014,
"Pueblo, CO",2014,39
"Salt Lake City, UT",2014,170
"Tucson, AZ",2014,188
Pacific,2014,1841
"Berkeley, CA",2014,18
"Fresno, CA",2014,145
"Glendale, CA",2014,40
"Honolulu, HI",2014,86
"Long Beach, CA",2014,54
"Los Angeles, CA",2014,297
"Pasadena, CA",2014,20
"Portland, OR",2014,124
"Sacramento, CA",2014,217
"San Diego, CA",2014,153
"San Francisco, CA",2014,115
"San Jose, CA",2014,228
"Santa Cruz, CA",2014,35
"Seattle, WA",2014,110
"Spokane, WA",2014,75
"Tacoma, WA",2014,124
Totalå¦,2014,11482
New England,2014,628
"Boston, MA",2014,165
"Bridgeport, CT",2014,43
"Cambridge, MA",2014,16
"Fall River, MA",2014,28
"Hartford, CT",2014,62
"Lowell, MA",2014,24
"Lynn, MA",2014,9
"New Bedford, MA",2014,21
"New Haven, CT",2014,39
"Providence, RI",2014,72
"Somerville, MA",2014,5
"Springfield, MA",2014,53
"Waterbury, CT",2014,31
"Worcester, MA",2014,60
Mid. Atlantic,2014,1923
"Albany, NY",2014,58
"Allentown, PA",2014,25
"Buffalo, NY",2014,107
"Camden, NJ",2014,16
"Elizabeth, NJ",2014,14
"Erie, PA",2014,74
"Jersey City, NJ",2014,29
"New York City, NY",2014,1171
"Newark, NJ",2014,30
"Paterson, NJ",2014,
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,49
"Reading, PA",2014,33
"Rochester, NY",2014,143
"Schenectady, NY",2014,25
"Scranton, PA",2014,33
"Syracuse, NY",2014,90
"Trenton, NJ",2014,
"Utica, NY",2014,9
"Yonkers, NY",2014,17
E.N. Central,2014,2125
"Akron, OH",2014,51
"Canton, OH",2014,37
"Chicago, IL",2014,270
"Cincinnati, OH",2014,79
"Cleveland, OH",2014,317
"Columbus, OH",2014,286
"Dayton, OH",2014,135
"Detroit, MI",2014,
"Evansville, IN",2014,51
"Fort Wayne, IN",2014,103
"Gary, IN",2014,13
"Grand Rapids, MI",2014,51
"Indianapolis, IN",2014,228
"Lansing, MI",2014,74
"Milwaukee, WI",2014,73
"Peoria, IL",2014,70
"Rockford, IL",2014,63
"South Bend, IN",2014,51
"Toledo, OH",2014,109
"Youngstown, OH",2014,64
W.N. Central,2014,840
"Des Moines, IA",2014,119
"Duluth, MN",2014,28
"Kansas City, KS",2014,29
"Kansas City, MO",2014,142
"Lincoln, NC",2014,44
"Minneapolis, MN",2014,84
"Omaha, NE",2014,103
"St. Louis, MO",2014,95
"St. Paul, MN",2014,65
"Wichita, KS",2014,131
S. Atlantic,2014,983
"Atlanta, GA",2014,74
"Baltimore, MD",2014,
"Charlotte, NC",2014,143
"Jacksonville, FL",2014,174
"Miami, FL",2014,80
"Norfolk, VA",2014,50
"Richmond, VA",2014,56
"Savannah, GA",2014,44
"St. Petersburg, FL",2014,71
"Tampa, FL",2014,125
"Washington, D.C.",2014,151
"Wilmington, DE",2014,15
E.S. Central,2014,1049
"Birmingham, AL",2014,146
"Chattanooga, TN",2014,98
"Knoxville, TN",2014,148
"Lexington, KY",2014,93
"Memphis, TN",2014,252
"Mobile, AL",2014,75
"Montgomery, AL",2014,54
"Nashville, TN",2014,183
W.S. Central,2014,1756
"Austin, TX",2014,133
"Baton Rouge, LA",2014,67
"Corpus Christi, TX",2014,75
"Dallas, TX",2014,264
"El Paso, TX",2014,141
"Fort Worth, TX",2014,
"Houston, TX",2014,523
"Little Rock, AR",2014,15
"New Orleans, LA",2014,45
"San Antonio, TX",2014,324
"Shreveport, LA",2014,92
"Tulsa, OK",2014,77
Mountain,2014,1150
"Albuquerque, NM",2014,160
"Boise, ID",2014,63
"Colorado Springs, CO",2014,76
"Denver, CO",2014,99
"Las Vegas, NV",2014,353
"Ogden, UT",2014,38
"Phoenix, AZ",2014,
"Pueblo, CO",2014,37
"Salt Lake City, UT",2014,147
"Tucson, AZ",2014,177
Pacific,2014,2045
"Berkeley, CA",2014,13
"Fresno, CA",2014,152
"Glendale, CA",2014,34
"Honolulu, HI",2014,76
"Long Beach, CA",2014,68
"Los Angeles, CA",2014,293
"Pasadena, CA",2014,36
"Portland, OR",2014,120
"Sacramento, CA",2014,277
"San Diego, CA",2014,185
"San Francisco, CA",2014,142
"San Jose, CA",2014,259
"Santa Cruz, CA",2014,38
"Seattle, WA",2014,140
"Spokane, WA",2014,73
"Tacoma, WA",2014,139
Totalå¦,2014,12499
New England,2014,567
"Boston, MA",2014,147
"Bridgeport, CT",2014,28
"Cambridge, MA",2014,19
"Fall River, MA",2014,30
"Hartford, CT",2014,64
"Lowell, MA",2014,20
"Lynn, MA",2014,10
"New Bedford, MA",2014,25
"New Haven, CT",2014,38
"Providence, RI",2014,71
"Somerville, MA",2014,1
"Springfield, MA",2014,26
"Waterbury, CT",2014,28
"Worcester, MA",2014,60
Mid. Atlantic,2014,1868
"Albany, NY",2014,44
"Allentown, PA",2014,18
"Buffalo, NY",2014,84
"Camden, NJ",2014,17
"Elizabeth, NJ",2014,20
"Erie, PA",2014,58
"Jersey City, NJ",2014,20
"New York City, NY",2014,1089
"Newark, NJ",2014,53
"Paterson, NJ",2014,
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,54
"Reading, PA",2014,26
"Rochester, NY",2014,201
"Schenectady, NY",2014,32
"Scranton, PA",2014,17
"Syracuse, NY",2014,92
"Trenton, NJ",2014,
"Utica, NY",2014,14
"Yonkers, NY",2014,29
E.N. Central,2014,1818
"Akron, OH",2014,74
"Canton, OH",2014,30
"Chicago, IL",2014,
"Cincinnati, OH",2014,81
"Cleveland, OH",2014,258
"Columbus, OH",2014,256
"Dayton, OH",2014,158
"Detroit, MI",2014,
"Evansville, IN",2014,45
"Fort Wayne, IN",2014,97
"Gary, IN",2014,11
"Grand Rapids, MI",2014,58
"Indianapolis, IN",2014,252
"Lansing, MI",2014,52
"Milwaukee, WI",2014,102
"Peoria, IL",2014,57
"Rockford, IL",2014,58
"South Bend, IN",2014,66
"Toledo, OH",2014,95
"Youngstown, OH",2014,68
W.N. Central,2014,724
"Des Moines, IA",2014,82
"Duluth, MN",2014,35
"Kansas City, KS",2014,35
"Kansas City, MO",2014,92
"Lincoln, NC",2014,48
"Minneapolis, MN",2014,71
"Omaha, NE",2014,100
"St. Louis, MO",2014,90
"St. Paul, MN",2014,68
"Wichita, KS",2014,103
S. Atlantic,2014,1205
"Atlanta, GA",2014,179
"Baltimore, MD",2014,
"Charlotte, NC",2014,169
"Jacksonville, FL",2014,186
"Miami, FL",2014,84
"Norfolk, VA",2014,76
"Richmond, VA",2014,70
"Savannah, GA",2014,100
"St. Petersburg, FL",2014,83
"Tampa, FL",2014,125
"Washington, D.C.",2014,124
"Wilmington, DE",2014,9
E.S. Central,2014,1143
"Birmingham, AL",2014,209
"Chattanooga, TN",2014,96
"Knoxville, TN",2014,163
"Lexington, KY",2014,63
"Memphis, TN",2014,219
"Mobile, AL",2014,109
"Montgomery, AL",2014,80
"Nashville, TN",2014,204
W.S. Central,2014,1756
"Austin, TX",2014,88
"Baton Rouge, LA",2014,136
"Corpus Christi, TX",2014,61
"Dallas, TX",2014,260
"El Paso, TX",2014,138
"Fort Worth, TX",2014,
"Houston, TX",2014,531
"Little Rock, AR",2014,14
"New Orleans, LA",2014,73
"San Antonio, TX",2014,288
"Shreveport, LA",2014,107
"Tulsa, OK",2014,60
Mountain,2014,1148
"Albuquerque, NM",2014,144
"Boise, ID",2014,68
"Colorado Springs, CO",2014,83
"Denver, CO",2014,73
"Las Vegas, NV",2014,351
"Ogden, UT",2014,35
"Phoenix, AZ",2014,
"Pueblo, CO",2014,44
"Salt Lake City, UT",2014,162
"Tucson, AZ",2014,188
Pacific,2014,1951
"Berkeley, CA",2014,13
"Fresno, CA",2014,136
"Glendale, CA",2014,42
"Honolulu, HI",2014,97
"Long Beach, CA",2014,80
"Los Angeles, CA",2014,303
"Pasadena, CA",2014,22
"Portland, OR",2014,121
"Sacramento, CA",2014,293
"San Diego, CA",2014,160
"San Francisco, CA",2014,110
"San Jose, CA",2014,235
"Santa Cruz, CA",2014,27
"Seattle, WA",2014,119
"Spokane, WA",2014,66
"Tacoma, WA",2014,127
Totalå¦,2014,12180
New England,2014,520
"Boston, MA",2014,159
"Bridgeport, CT",2014,34
"Cambridge, MA",2014,8
"Fall River, MA",2014,29
"Hartford, CT",2014,48
"Lowell, MA",2014,26
"Lynn, MA",2014,16
"New Bedford, MA",2014,34
"New Haven, CT",2014,37
"Providence, RI",2014,
"Somerville, MA",2014,3
"Springfield, MA",2014,33
"Waterbury, CT",2014,25
"Worcester, MA",2014,68
Mid. Atlantic,2014,1866
"Albany, NY",2014,50
"Allentown, PA",2014,36
"Buffalo, NY",2014,112
"Camden, NJ",2014,24
"Elizabeth, NJ",2014,9
"Erie, PA",2014,44
"Jersey City, NJ",2014,
"New York City, NY",2014,1130
"Newark, NJ",2014,40
"Paterson, NJ",2014,16
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,50
"Reading, PA",2014,37
"Rochester, NY",2014,161
"Schenectady, NY",2014,35
"Scranton, PA",2014,15
"Syracuse, NY",2014,63
"Trenton, NJ",2014,14
"Utica, NY",2014,16
"Yonkers, NY",2014,14
E.N. Central,2014,2103
"Akron, OH",2014,48
"Canton, OH",2014,41
"Chicago, IL",2014,317
"Cincinnati, OH",2014,84
"Cleveland, OH",2014,263
"Columbus, OH",2014,257
"Dayton, OH",2014,155
"Detroit, MI",2014,126
"Evansville, IN",2014,54
"Fort Wayne, IN",2014,69
"Gary, IN",2014,14
"Grand Rapids, MI",2014,58
"Indianapolis, IN",2014,212
"Lansing, MI",2014,59
"Milwaukee, WI",2014,81
"Peoria, IL",2014,
"Rockford, IL",2014,67
"South Bend, IN",2014,47
"Toledo, OH",2014,107
"Youngstown, OH",2014,44
W.N. Central,2014,728
"Des Moines, IA",2014,75
"Duluth, MN",2014,25
"Kansas City, KS",2014,29
"Kansas City, MO",2014,109
"Lincoln, NC",2014,68
"Minneapolis, MN",2014,66
"Omaha, NE",2014,129
"St. Louis, MO",2014,95
"St. Paul, MN",2014,50
"Wichita, KS",2014,82
S. Atlantic,2014,1108
"Atlanta, GA",2014,73
"Baltimore, MD",2014,175
"Charlotte, NC",2014,114
"Jacksonville, FL",2014,169
"Miami, FL",2014,83
"Norfolk, VA",2014,57
"Richmond, VA",2014,63
"Savannah, GA",2014,90
"St. Petersburg, FL",2014,70
"Tampa, FL",2014,126
"Washington, D.C.",2014,69
"Wilmington, DE",2014,19
E.S. Central,2014,925
"Birmingham, AL",2014,204
"Chattanooga, TN",2014,58
"Knoxville, TN",2014,85
"Lexington, KY",2014,78
"Memphis, TN",2014,181
"Mobile, AL",2014,123
"Montgomery, AL",2014,39
"Nashville, TN",2014,157
W.S. Central,2014,1627
"Austin, TX",2014,116
"Baton Rouge, LA",2014,127
"Corpus Christi, TX",2014,
"Dallas, TX",2014,246
"El Paso, TX",2014,148
"Fort Worth, TX",2014,
"Houston, TX",2014,365
"Little Rock, AR",2014,117
"New Orleans, LA",2014,91
"San Antonio, TX",2014,285
"Shreveport, LA",2014,76
"Tulsa, OK",2014,56
Mountain,2014,1288
"Albuquerque, NM",2014,149
"Boise, ID",2014,46
"Colorado Springs, CO",2014,94
"Denver, CO",2014,121
"Las Vegas, NV",2014,297
"Ogden, UT",2014,38
"Phoenix, AZ",2014,175
"Pueblo, CO",2014,28
"Salt Lake City, UT",2014,142
"Tucson, AZ",2014,198
Pacific,2014,1979
"Berkeley, CA",2014,15
"Fresno, CA",2014,147
"Glendale, CA",2014,41
"Honolulu, HI",2014,80
"Long Beach, CA",2014,62
"Los Angeles, CA",2014,283
"Pasadena, CA",2014,38
"Portland, OR",2014,150
"Sacramento, CA",2014,247
"San Diego, CA",2014,187
"San Francisco, CA",2014,131
"San Jose, CA",2014,218
"Santa Cruz, CA",2014,51
"Seattle, WA",2014,117
"Spokane, WA",2014,76
"Tacoma, WA",2014,136
Totalå¦,2014,12144
New England,2014,634
"Boston, MA",2014,155
"Bridgeport, CT",2014,37
"Cambridge, MA",2014,13
"Fall River, MA",2014,36
"Hartford, CT",2014,65
"Lowell, MA",2014,20
"Lynn, MA",2014,8
"New Bedford, MA",2014,25
"New Haven, CT",2014,54
"Providence, RI",2014,63
"Somerville, MA",2014,3
"Springfield, MA",2014,43
"Waterbury, CT",2014,32
"Worcester, MA",2014,80
Mid. Atlantic,2014,1626
"Albany, NY",2014,53
"Allentown, PA",2014,39
"Buffalo, NY",2014,93
