Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Berkeley, CA",2014,1,15,,13,,1,,,-,,-,1,,2,,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,1,137,,93,,28,,9,,5,,2,,16,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,1,29,,22,,7,,,-,,-,,-,5,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,1,64,,51,,9,,2,,1,,1,,11,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,1,55,,39,,13,,3,,,-,,-,5,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,1,224,,144,,58,,13,,6,,3,,23,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,1,27,,22,,1,,2,,2,,,-,3,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,1,112,,74,,30,,7,,1,,,-,1,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,1,207,,147,,46,,7,,6,,1,,19,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,1,166,,125,,25,,8,,6,,2,,12,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,1,108,,75,,27,,5,,1,,,-,5,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,1,196,,156,,28,,6,,4,,2,,16,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,1,34,,26,,7,,,-,1,,,-,2,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,1,111,,81,,23,,6,,,-,1,,7,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,1,71,,47,,17,,4,,1,,2,,5,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,1,93,,66,,17,,8,,2,,,-,7,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,1,10309,,7007,,2375,,606,,188,,132,,711,,,
New England,2014,2,694,,488,,148,,34,,15,,9,,69,,,
"Boston, MA",2014,2,181,,125,,40,,11,,2,,3,,22,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,2,26,,19,,5,,2,,,-,,-,3,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,2,15,,14,,1,,,-,,-,,-,,-,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
